project_id,name,description,created_at,updated_at,npm_package
nextui-org/nextui,NextUI,"Beautiful, fast and modern React UI library",2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
prettier/prettier,Prettier,An opinionated code formatter,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
prisma/prisma,Prisma,Next-generation ORM for Node.js and TypeScript,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
react-hook-form/react-hook-form,React Hook Form,"Performant, flexible and extensible forms with easy validation",2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
rollup/rollup,Rollup,Next-generation ES module bundler,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
sequelize/sequelize,Sequelize,Feature-rich ORM for modern Node.js and TypeScript,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
supabase/supabase,Supabase,The open source Firebase alternative,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
sveltejs/svelte,Svelte,Cybernetically enhanced web apps,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
tailwindlabs/tailwindcss,Tailwind CSS,A utility-first CSS framework for rapid UI development,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
tanstack/react-query,TanStack Query,Powerful asynchronous state management for TS/JS,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
tanstack/react-table,TanStack Table,Headless UI for building powerful tables and datagrids,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
testing-library/react-testing-library,React Testing Library,Simple and complete React DOM testing utilities,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
typeorm/typeorm,TypeORM,ORM for TypeScript and JavaScript,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
vercel/next.js,Next.js,The React Framework for Production,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
vitejs/vite,Vite,Next generation frontend tooling,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
vitest-dev/vitest,Vitest,A Vite-native unit test framework,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
vuejs/vue,Vue.js,The Progressive JavaScript Framework,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
webpack/webpack,Webpack,A bundler for javascript and friends,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
